datID sessionID block trial background target forePeriod resp rt
544 362 0 29 1 17 31 1 0.327
545 362 0 30 2 11 44 0 0.965
546 362 0 31 2 15 33 1 0.702
547 362 0 32 2 18 33 1 0.257
548 362 0 33 2 4 31 0 0.389
549 362 0 34 2 9 32 0 0.408
550 362 0 35 2 19 33 1 0.313
551 362 0 36 0 16 33 1 0.538
552 362 0 37 2 5 31 0 0.39
553 362 0 38 2 1 35 0 0.381
554 362 0 39 0 3 36 0 0.286
555 362 0 40 2 0 32 0 0.274
556 362 0 41 1 9 38 1 0.292
557 362 0 42 0 6 33 0 0.138
558 362 0 43 0 12 33 0 0.326
559 362 0 44 1 11 31 1 1.196
560 362 0 45 0 15 31 1 0.402
561 362 0 46 1 12 31 1 0.333
562 362 0 47 2 13 32 1 0.544
563 362 0 48 0 0 37 0 0.454
564 362 0 49 1 4 33 0 1.077
565 362 0 50 0 1 31 0 0.317
566 362 0 51 1 7 31 0 0.462
567 362 0 52 0 7 33 0 0.442
568 362 0 53 0 5 31 0 0.438
569 362 0 54 1 15 31 1 0.469
570 362 0 55 2 16 34 1 0.452
571 362 0 56 1 1 33 0 0.421
572 362 0 57 1 0 31 0 0.326
573 362 0 58 1 10 34 0 0.553
574 362 0 59 2 17 34 1 0.467
575 362 0 60 2 7 31 0 0.335
576 362 0 61 1 2 31 0 0.516
577 362 0 62 0 11 33 0 0.65
